DateTime,Cryptopunks,Azuki,Bored Ape Yacht Club,CloneX,Pudgy Penguins
2022-03-10,260124.24890140846,37874.04032866119,78335.3974174397,47501.22723776224,935.7911572327043
2022-03-11,232655.95389873418,37778.36648824412,76748.43714550853,45548.70321247281,956.1800519818064
2022-03-12,232660.26891705068,37621.67233384853,77414.59490346083,45068.19927312775,945.4679525423728
2022-03-13,230808.65933179724,37336.28775286757,76739.42248688352,43876.76662912913,952.2419467787115
2022-03-14,175231.36902097904,37130.80877277599,75951.39486676017,43039.371224643124,983.851550387597
2022-03-15,172106.97409756097,36650.531010789324,74171.87639721255,42035.39804201051,980.1822159491884
2022-03-16,171711.38295673078,36063.62192080378,73353.83711314986,41723.112074016964,1001.1762814411965
2022-03-17,172206.3198364486,33641.55685100846,74062.13886555636,41292.90307750188,973.2813777089783
2022-03-18,174823.13907894737,32785.2341543901,73202.30401050788,40878.66754398827,913.1290302066773
2022-03-19,177913.95785416666,32106.967265209685,74180.84504328112,41339.120723226704,932.8901740506328
2022-03-20,178734.771352459,31779.081903914594,74143.05598513757,41281.703324099726,955.3678603945373
2022-03-21,178429.74112224448,31387.105035587192,74430.71666930536,41197.54970954357,989.3472032046614
2022-03-22,179111.2133066132,31361.572098027493,74833.92822586949,41160.1775613079,988.9630952380953
2022-03-23,166718.03152450093,31500.10476163451,75841.104825415,41238.8969372442,1000.5658832011535
2022-03-24,166797.13169642858,33790.36287901235,76167.01675259644,41462.12205639615,1023.5733997050148
2022-03-25,175562.38843137253,34570.98285990338,77306.28792272309,41793.091468771454,1027.6848145344436
2022-03-26,175804.64729083664,36042.20426103647,78621.31251820049,42807.71753768844,1044.4641533788915
2022-03-27,175679.11676646708,37334.85908563135,78792.43734800447,44118.05084425036,1066.6069351230424
2022-03-28,170980.36283783783,38004.738031309294,79294.21117429153,43808.42368768328,1041.5672264808363
2022-03-29,172783.33969635627,39006.266321626616,79800.48879692364,44112.03376367615,1071.3878866340099
2022-03-30,160686.55368330464,40770.90363636363,80194.61647208121,44494.93329904482,1128.2372397260274
2022-03-31,157843.50245409014,29762.13344329897,80902.10036239684,46545.90232827188,1208.04811827957
2022-04-01,156332.25384615385,31286.16425025432,81053.14221866097,46683.79167146974,1644.7950091340886
